127.0.0.1, 2018-04-25 16:59:43, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003184
127.0.0.1, 2018-04-25 16:59:52, GET, /start/default/add, HTTP/1.1, 200, 0.056291
127.0.0.1, 2018-04-25 16:59:52, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001817
127.0.0.1, 2018-04-25 16:59:59, POST, /start/default/add, HTTP/1.1, 303, 0.064902
127.0.0.1, 2018-04-25 16:59:59, GET, /start/default/index, HTTP/1.1, 200, 0.053461
127.0.0.1, 2018-04-25 17:00:05, GET, /start/default/edit/1, HTTP/1.1, 200, 0.063511
127.0.0.1, 2018-04-25 17:00:09, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.004921
127.0.0.1, 2018-04-25 17:17:09, GET, /start/default/edit/1, HTTP/1.1, 500, 0.283952
127.0.0.1, 2018-04-25 17:17:18, GET, /start/, HTTP/1.1, 500, 0.130374
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/default/ticket/start/127.0.0.1.2018-04-25.17-17-18.6f87b071-2c41-482f-bd82-c4af9cff0591, HTTP/1.1, 303, 0.579328
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/default/index, HTTP/1.1, 200, 0.160990
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.051544
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.080332
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.068256
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.130527
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.086620
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.170743
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.162019
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.112176
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.122606
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.126996
127.0.0.1, 2018-04-25 17:17:23, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.132004
